SC_Mean,SC_Std,RMS_Mean,RMS_Std,ZCR_Mean,SBAN_Mean,SCON_Mean,Rolloff_Mean,MFCCs13Mean,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,AE_Mean,Chroma_Mean,label,filename,dataset
1372.156154673366,549.1378296025882,0.019539715722203255,0.023322300985455513,0.10076739336993243,818.7116653748304,25.99124355451373,2330.6418753959038,-38.598472595214844,-497.1365661621094,110.3526840209961,-51.188682556152344,-15.02914810180664,11.00906753540039,-27.145973205566406,-11.384687423706055,5.364253997802734,-11.978532791137695,-6.332267761230469,2.247053384780884,-5.309049606323242,-5.248314380645752,0.05784911662340164,0.2954917550086975,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav,donate_cry
1259.1348876486932,289.6064731030927,0.006370462477207184,0.006567266304045916,0.08405389848923842,960.8648277573232,24.98154741775992,2364.7307339093545,-37.51741027832031,-496.8210754394531,150.72593688964844,-56.86125183105469,-0.4118906557559967,13.099051475524902,-32.89391326904297,-2.009495258331299,-6.78629207611084,-27.024171829223633,-0.11144150793552399,-8.818572998046875,-19.803281784057617,-0.009947719983756542,0.015872858464717865,0.3755605220794678,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,donate_cry
1239.3062536534692,202.54233158369686,0.012146291323006153,0.016569562256336212,0.08474913338162252,938.5054796851396,23.301778075510363,2355.2832192932533,-33.70420455932617,-420.84820556640625,152.8831024169922,-56.19606399536133,-6.367497444152832,6.089202404022217,-39.988014221191406,-7.359907150268555,-5.575745105743408,-26.04489517211914,-2.963298797607422,-9.654534339904785,-20.756616592407227,-1.3722093105316162,0.03748875483870506,0.39354491233825684,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,donate_cry
1294.8317026779764,256.1007394855005,0.020427362993359566,0.019872048869729042,0.09206203435430464,911.7818511644303,23.14842727980169,2317.029697847682,-31.817411422729492,-382.5213623046875,163.47486877441406,-71.05874633789062,-8.060857772827148,7.695218563079834,-44.0400505065918,-5.9040141105651855,-7.690041542053223,-32.52947235107422,-0.4807157814502716,-5.34182596206665,-22.677967071533203,-4.491396427154541,0.05931922420859337,0.37827420234680176,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,donate_cry
1244.0381535044867,234.87220557961905,0.040675051510334015,0.03652592748403549,0.08295122361341059,978.2511468811241,23.54207008080535,2434.85624805981,-24.856632232666016,-310.2763977050781,170.54624938964844,-66.5705337524414,5.469432830810547,11.205345153808594,-51.36379623413086,-9.742393493652344,-10.51004695892334,-33.26374435424805,0.4436795115470886,-9.04473876953125,-22.012964248657227,1.9836777448654175,0.10570958256721497,0.37974438071250916,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,donate_cry
1525.593057391312,281.42696920104504,0.022922012954950333,0.029248369857668877,0.11666526541804635,996.2750125849783,24.071075047151254,2722.631108366101,-30.420299530029297,-382.7514343261719,143.72039794921875,-76.77188873291016,0.6978476047515869,9.975703239440918,-47.15520095825195,0.12220481038093567,1.5716843605041504,-27.088211059570312,3.7000606060028076,-2.2138748168945312,-19.250308990478516,-0.020872987806797028,0.07727425545454025,0.4094719886779785,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138536-1.0-m-72-bp.wav,donate_cry
1208.9634558687342,322.7103919945676,0.02391025796532631,0.02705962583422661,0.07350411320364239,986.5068404579677,25.548877732039752,2358.883970146937,-32.54199981689453,-389.2364807128906,129.74026489257812,-44.71710205078125,4.871435165405273,5.093112945556641,-39.4955940246582,-7.2480854988098145,-11.708908081054688,-30.87750244140625,-4.880375862121582,-12.018263816833496,-20.8885498046875,-1.679988145828247,0.055787649005651474,0.2935192584991455,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138545-1.0-m-72-bp.wav,donate_cry
1031.8599084216798,311.5639797148228,0.026901377364993095,0.05307956784963608,0.06498667735927152,852.3208143041661,24.83607253991369,1926.116498732409,-34.96377944946289,-432.0409851074219,92.13449096679688,-0.9409762024879456,-7.932284832000732,-5.543690204620361,-19.743629455566406,-14.23912525177002,-11.762008666992188,-17.72202491760254,-13.418497085571289,-10.853178977966309,-9.007295608520508,-3.459913730621338,0.053313691169023514,0.3329246938228607,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138591-1.0-m-72-bp.wav,donate_cry
1377.8795702512446,331.3125161588845,0.02666597254574299,0.02729010209441185,0.07622361341059603,1106.9500050868833,25.901610896189386,2886.447446709437,-32.77147674560547,-388.3503112792969,122.67774963378906,-51.24110412597656,11.015186309814453,0.07500912249088287,-47.40163803100586,-0.5609535574913025,-9.44245719909668,-33.26308822631836,0.7245808839797974,-9.981359481811523,-22.474353790283203,2.1935739517211914,0.06549876928329468,0.2545982599258423,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,donate_cry
1280.6888116700998,340.05337446904565,0.1767483353614807,0.14017489552497864,0.08311775662251655,879.7625623652831,25.8597515988628,2314.5697789476408,-19.404300689697266,-245.95933532714844,140.69281005859375,-62.610687255859375,-7.800362586975098,-2.1664464473724365,-43.767433166503906,-1.1007479429244995,-2.45585298538208,-19.79473304748535,10.167276382446289,-3.177661657333374,-17.621007919311523,3.338296890258789,0.4431345462799072,0.27472984790802,belly_pain,69BDA5D6-0276-4462-9BF7-951799563728-1436936185-1.1-m-26-bp.wav,donate_cry
